freq (Hz),value(ganho "Vtun" -0.3) (dB),value(ganho "Vtun" -0.2) (dB),value(ganho "Vtun" -0.1) (dB),value(ganho "Vtun" 0.0) (dB),dB20(value(VF("/Vout") "Vtun" 0.0)) (dB),value(ganho "Vtun" 0.1) (dB),value(ganho "Vtun" 0.2) (dB)
2.089E3,-6.086,-6.091,-6.113,-6.155,-6.155,-6.232,-6.404
2.138E3,-6.088,-6.094,-6.116,-6.159,-6.159,-6.239,-6.414
2.188E3,-6.091,-6.097,-6.120,-6.164,-6.164,-6.245,-6.423
2.239E3,-6.093,-6.100,-6.123,-6.169,-6.169,-6.252,-6.433
2.291E3,-6.096,-6.103,-6.127,-6.174,-6.174,-6.259,-6.444
2.344E3,-6.099,-6.106,-6.131,-6.179,-6.179,-6.267,-6.454
2.399E3,-6.102,-6.109,-6.135,-6.185,-6.185,-6.275,-6.465
2.455E3,-6.105,-6.112,-6.140,-6.191,-6.191,-6.283,-6.477
2.512E3,-6.109,-6.116,-6.144,-6.197,-6.197,-6.291,-6.489
2.570E3,-6.112,-6.120,-6.149,-6.203,-6.203,-6.300,-6.501
2.630E3,-6.116,-6.124,-6.154,-6.209,-6.209,-6.309,-6.513
2.692E3,-6.120,-6.128,-6.159,-6.216,-6.216,-6.318,-6.526
2.754E3,-6.124,-6.132,-6.164,-6.223,-6.223,-6.328,-6.539
2.818E3,-6.128,-6.136,-6.170,-6.231,-6.231,-6.338,-6.553
2.884E3,-6.132,-6.141,-6.175,-6.238,-6.238,-6.348,-6.567
2.951E3,-6.137,-6.146,-6.181,-6.246,-6.246,-6.359,-6.581
3.020E3,-6.141,-6.151,-6.187,-6.254,-6.254,-6.370,-6.596
3.090E3,-6.146,-6.156,-6.194,-6.263,-6.263,-6.382,-6.611
3.162E3,-6.151,-6.162,-6.201,-6.272,-6.272,-6.393,-6.627
3.236E3,-6.157,-6.167,-6.208,-6.281,-6.281,-6.406,-6.642
3.311E3,-6.162,-6.173,-6.215,-6.291,-6.291,-6.418,-6.658
3.388E3,-6.168,-6.179,-6.222,-6.300,-6.300,-6.431,-6.675
3.467E3,-6.174,-6.186,-6.230,-6.311,-6.311,-6.444,-6.691
3.548E3,-6.180,-6.192,-6.238,-6.321,-6.321,-6.458,-6.708
3.631E3,-6.187,-6.199,-6.247,-6.332,-6.332,-6.472,-6.725
3.715E3,-6.194,-6.206,-6.256,-6.343,-6.343,-6.487,-6.742
3.802E3,-6.201,-6.214,-6.265,-6.355,-6.355,-6.502,-6.760
3.890E3,-6.208,-6.222,-6.274,-6.367,-6.367,-6.517,-6.777
3.981E3,-6.215,-6.230,-6.284,-6.379,-6.379,-6.532,-6.795
4.074E3,-6.223,-6.238,-6.294,-6.392,-6.392,-6.548,-6.812
4.169E3,-6.232,-6.247,-6.305,-6.405,-6.405,-6.564,-6.830
4.266E3,-6.240,-6.256,-6.315,-6.419,-6.419,-6.581,-6.847
4.365E3,-6.249,-6.265,-6.327,-6.433,-6.433,-6.597,-6.864
4.467E3,-6.258,-6.275,-6.338,-6.447,-6.447,-6.614,-6.881
4.571E3,-6.267,-6.285,-6.350,-6.462,-6.462,-6.632,-6.897
4.677E3,-6.277,-6.295,-6.362,-6.477,-6.477,-6.649,-6.913
4.786E3,-6.287,-6.306,-6.375,-6.492,-6.492,-6.666,-6.929
4.898E3,-6.298,-6.317,-6.388,-6.508,-6.508,-6.684,-6.943
5.012E3,-6.309,-6.328,-6.402,-6.524,-6.524,-6.702,-6.957
5.129E3,-6.320,-6.340,-6.415,-6.540,-6.540,-6.719,-6.970
5.248E3,-6.331,-6.352,-6.430,-6.557,-6.557,-6.737,-6.982
5.370E3,-6.343,-6.365,-6.444,-6.574,-6.574,-6.755,-6.993
5.495E3,-6.356,-6.378,-6.459,-6.591,-6.591,-6.772,-7.002
5.623E3,-6.368,-6.391,-6.474,-6.608,-6.608,-6.789,-7.010
5.754E3,-6.381,-6.405,-6.490,-6.626,-6.626,-6.805,-7.016
5.888E3,-6.395,-6.419,-6.506,-6.643,-6.643,-6.822,-7.021
6.026E3,-6.409,-6.433,-6.522,-6.661,-6.661,-6.837,-7.023
6.166E3,-6.423,-6.448,-6.538,-6.678,-6.678,-6.852,-7.022
6.310E3,-6.437,-6.463,-6.555,-6.696,-6.696,-6.866,-7.019
6.457E3,-6.452,-6.478,-6.572,-6.714,-6.714,-6.880,-7.014
6.607E3,-6.467,-6.494,-6.589,-6.731,-6.731,-6.892,-7.005
6.761E3,-6.483,-6.510,-6.607,-6.748,-6.748,-6.903,-6.993
6.918E3,-6.499,-6.527,-6.624,-6.765,-6.765,-6.912,-6.977
7.079E3,-6.515,-6.543,-6.642,-6.782,-6.782,-6.921,-6.958
7.244E3,-6.531,-6.560,-6.660,-6.798,-6.798,-6.927,-6.935
7.413E3,-6.548,-6.577,-6.677,-6.813,-6.813,-6.931,-6.907
7.586E3,-6.565,-6.595,-6.695,-6.827,-6.827,-6.933,-6.876
7.762E3,-6.582,-6.612,-6.712,-6.841,-6.841,-6.933,-6.839
7.943E3,-6.599,-6.629,-6.729,-6.854,-6.854,-6.930,-6.798
8.128E3,-6.616,-6.647,-6.746,-6.866,-6.866,-6.925,-6.753
8.318E3,-6.634,-6.664,-6.763,-6.876,-6.876,-6.916,-6.703
8.511E3,-6.651,-6.682,-6.779,-6.885,-6.885,-6.904,-6.649
8.710E3,-6.668,-6.699,-6.794,-6.892,-6.892,-6.888,-6.592
8.913E3,-6.686,-6.716,-6.809,-6.897,-6.897,-6.869,-6.531
9.120E3,-6.703,-6.733,-6.823,-6.900,-6.900,-6.845,-6.469
9.333E3,-6.719,-6.750,-6.835,-6.901,-6.901,-6.817,-6.407
9.550E3,-6.736,-6.766,-6.847,-6.900,-6.900,-6.784,-6.347
9.772E3,-6.752,-6.781,-6.858,-6.895,-6.895,-6.747,-6.291
10.00E3,-6.767,-6.796,-6.867,-6.888,-6.888,-6.704,-6.245
10.23E3,-6.782,-6.809,-6.874,-6.878,-6.878,-6.657,-6.211
10.47E3,-6.796,-6.822,-6.880,-6.863,-6.863,-6.605,-6.196
10.72E3,-6.809,-6.834,-6.883,-6.846,-6.846,-6.548,-6.206
10.96E3,-6.821,-6.845,-6.884,-6.824,-6.824,-6.486,-6.249
11.22E3,-6.832,-6.854,-6.883,-6.797,-6.797,-6.422,-6.333
11.48E3,-6.841,-6.861,-6.879,-6.766,-6.766,-6.354,-6.466
11.75E3,-6.849,-6.867,-6.872,-6.731,-6.731,-6.285,-6.656
12.02E3,-6.855,-6.871,-6.862,-6.690,-6.690,-6.216,-6.910
12.30E3,-6.859,-6.872,-6.849,-6.644,-6.644,-6.151,-7.231
12.59E3,-6.862,-6.871,-6.831,-6.594,-6.594,-6.092,-7.622
12.88E3,-6.861,-6.868,-6.810,-6.538,-6.538,-6.045,-8.080
13.18E3,-6.858,-6.861,-6.784,-6.477,-6.477,-6.013,-8.601
13.49E3,-6.852,-6.851,-6.754,-6.412,-6.412,-6.004,-9.180
13.80E3,-6.843,-6.838,-6.719,-6.343,-6.343,-6.026,-9.808
14.13E3,-6.831,-6.821,-6.678,-6.272,-6.272,-6.087,-10.48
14.45E3,-6.815,-6.800,-6.633,-6.200,-6.200,-6.195,-11.18
14.79E3,-6.795,-6.774,-6.582,-6.129,-6.129,-6.360,-11.91
15.14E3,-6.771,-6.744,-6.526,-6.062,-6.062,-6.588,-12.65
15.49E3,-6.742,-6.709,-6.465,-6.003,-6.003,-6.886,-13.41
15.85E3,-6.708,-6.669,-6.400,-5.956,-5.956,-7.256,-14.17
16.22E3,-6.669,-6.624,-6.330,-5.928,-5.928,-7.697,-14.94
16.60E3,-6.625,-6.574,-6.258,-5.925,-5.925,-8.205,-15.71
16.98E3,-6.575,-6.518,-6.183,-5.957,-5.957,-8.775,-16.48
17.38E3,-6.520,-6.456,-6.109,-6.031,-6.031,-9.399,-17.25
17.78E3,-6.459,-6.390,-6.038,-6.156,-6.156,-10.07,-18.01
18.20E3,-6.393,-6.319,-5.974,-6.342,-6.342,-10.77,-18.77
18.62E3,-6.322,-6.245,-5.920,-6.596,-6.596,-11.50,-19.53
19.05E3,-6.247,-6.169,-5.883,-6.921,-6.921,-12.25,-20.27
19.50E3,-6.168,-6.092,-5.870,-7.320,-7.320,-13.02,-21.01
19.95E3,-6.088,-6.017,-5.888,-7.790,-7.790,-13.79,-21.75
20.42E3,-6.009,-5.947,-5.947,-8.327,-8.327,-14.57,-22.48
20.89E3,-5.932,-5.887,-6.055,-8.923,-8.923,-15.34,-23.20
21.38E3,-5.863,-5.842,-6.222,-9.569,-9.569,-16.12,-23.92
21.88E3,-5.806,-5.818,-6.456,-10.26,-10.26,-16.90,-24.63
22.39E3,-5.766,-5.824,-6.762,-10.98,-10.98,-17.67,-25.34
22.91E3,-5.753,-5.868,-7.141,-11.72,-11.72,-18.43,-26.04
23.44E3,-5.774,-5.960,-7.595,-12.48,-12.48,-19.19,-26.74
23.99E3,-5.838,-6.109,-8.117,-13.25,-13.25,-19.95,-27.43
24.55E3,-5.956,-6.324,-8.701,-14.03,-14.03,-20.69,-28.12
25.12E3,-6.137,-6.610,-9.338,-14.82,-14.82,-21.43,-28.80
25.70E3,-6.388,-6.972,-10.02,-15.60,-15.60,-22.17,-29.48
26.30E3,-6.714,-7.408,-10.73,-16.38,-16.38,-22.90,-30.16
26.92E3,-7.117,-7.916,-11.48,-17.15,-17.15,-23.62,-30.83
27.54E3,-7.595,-8.488,-12.24,-17.92,-17.92,-24.34,-31.50
28.18E3,-8.141,-9.116,-13.01,-18.69,-18.69,-25.05,-32.16
28.84E3,-8.749,-9.791,-13.79,-19.45,-19.45,-25.75,-32.82
29.51E3,-9.408,-10.50,-14.58,-20.20,-20.20,-26.45,-33.48
30.20E3,-10.11,-11.24,-15.36,-20.95,-20.95,-27.15,-34.13
30.90E3,-10.84,-12.00,-16.14,-21.69,-21.69,-27.84,-34.79
31.62E3,-11.60,-12.78,-16.92,-22.42,-22.42,-28.52,-35.44
32.36E3,-12.37,-13.56,-17.70,-23.15,-23.15,-29.21,-36.09
33.11E3,-13.15,-14.35,-18.46,-23.87,-23.87,-29.88,-36.73
33.88E3,-13.94,-15.13,-19.23,-24.59,-24.59,-30.56,-37.37
34.67E3,-14.73,-15.92,-19.98,-25.30,-25.30,-31.23,-38.01
35.48E3,-15.52,-16.70,-20.73,-26.00,-26.00,-31.89,-38.65
36.31E3,-16.31,-17.48,-21.48,-26.70,-26.70,-32.56,-39.29
37.15E3,-17.09,-18.25,-22.21,-27.39,-27.39,-33.22,-39.93
38.02E3,-17.87,-19.02,-22.94,-28.08,-28.08,-33.87,-40.56
38.90E3,-18.64,-19.77,-23.66,-28.77,-28.77,-34.53,-41.19
39.81E3,-19.40,-20.53,-24.38,-29.45,-29.45,-35.18,-41.82
40.74E3,-20.16,-21.27,-25.09,-30.12,-30.12,-35.83,-42.45
41.69E3,-20.91,-22.01,-25.80,-30.80,-30.80,-36.48,-43.08
42.66E3,-21.65,-22.74,-26.50,-31.47,-31.47,-37.12,-43.71
43.65E3,-22.39,-23.47,-27.20,-32.13,-32.13,-37.76,-44.33
44.67E3,-23.12,-24.19,-27.89,-32.79,-32.79,-38.40,-44.95
45.71E3,-23.84,-24.90,-28.57,-33.45,-33.45,-39.04,-45.58
46.77E3,-24.56,-25.61,-29.26,-34.11,-34.11,-39.68,-46.20
47.86E3,-25.27,-26.31,-29.93,-34.76,-34.76,-40.31,-46.82
48.98E3,-25.98,-27.01,-30.61,-35.41,-35.41,-40.95,-47.44
50.12E3,-26.68,-27.70,-31.28,-36.06,-36.06,-41.58,-48.06
51.29E3,-27.37,-28.39,-31.95,-36.71,-36.71,-42.21,-48.68
52.48E3,-28.07,-29.08,-32.61,-37.35,-37.35,-42.83,-49.29
53.70E3,-28.75,-29.76,-33.27,-37.99,-37.99,-43.46,-49.91
54.95E3,-29.43,-30.43,-33.93,-38.63,-38.63,-44.09,-50.52
56.23E3,-30.11,-31.10,-34.58,-39.27,-39.27,-44.71,-51.14
57.54E3,-30.78,-31.77,-35.23,-39.91,-39.91,-45.34,-51.75
58.88E3,-31.45,-32.44,-35.88,-40.54,-40.54,-45.96,-52.37
60.26E3,-32.12,-33.10,-36.53,-41.17,-41.17,-46.58,-52.98
61.66E3,-32.78,-33.75,-37.17,-41.81,-41.81,-47.20,-53.59
63.10E3,-33.44,-34.41,-37.82,-42.43,-42.43,-47.82,-54.20
64.57E3,-34.10,-35.06,-38.46,-43.06,-43.06,-48.44,-54.81
66.07E3,-34.76,-35.71,-39.09,-43.69,-43.69,-49.05,-55.42
67.61E3,-35.41,-36.36,-39.73,-44.31,-44.31,-49.67,-56.03
69.18E3,-36.06,-37.01,-40.37,-44.94,-44.94,-50.29,-56.64
70.79E3,-36.70,-37.65,-41.00,-45.56,-45.56,-50.90,-57.25
72.44E3,-37.35,-38.29,-41.63,-46.18,-46.18,-51.52,-57.86
74.13E3,-37.99,-38.93,-42.26,-46.80,-46.80,-52.13,-58.47
75.86E3,-38.63,-39.57,-42.89,-47.42,-47.42,-52.74,-59.08
77.62E3,-39.27,-40.20,-43.52,-48.04,-48.04,-53.36,-59.69
79.43E3,-39.90,-40.83,-44.14,-48.66,-48.66,-53.97,-60.29
81.28E3,-40.54,-41.47,-44.77,-49.28,-49.28,-54.58,-60.90
83.18E3,-41.17,-42.10,-45.39,-49.90,-49.90,-55.19,-61.51
85.11E3,-41.80,-42.73,-46.01,-50.51,-50.51,-55.80,-62.11
87.10E3,-42.43,-43.35,-46.63,-51.13,-51.13,-56.41,-62.72
89.13E3,-43.06,-43.98,-47.25,-51.74,-51.74,-57.02,-63.32
91.20E3,-43.69,-44.61,-47.87,-52.35,-52.35,-57.63,-63.93
93.33E3,-44.31,-45.23,-48.49,-52.97,-52.97,-58.24,-64.53
95.50E3,-44.94,-45.85,-49.11,-53.58,-53.58,-58.84,-65.14
97.72E3,-45.56,-46.47,-49.73,-54.19,-54.19,-59.45,-65.74
100.0E3,-46.19,-47.09,-50.34,-54.80,-54.80,-60.06,-66.35
102.3E3,-46.81,-47.71,-50.96,-55.41,-55.41,-60.67,-66.95
104.7E3,-47.43,-48.33,-51.57,-56.02,-56.02,-61.27,-67.56
107.2E3,-48.05,-48.95,-52.19,-56.63,-56.63,-61.88,-68.16
109.6E3,-48.67,-49.57,-52.80,-57.24,-57.24,-62.49,-68.76
112.2E3,-49.28,-50.18,-53.41,-57.85,-57.85,-63.09,-69.37
114.8E3,-49.90,-50.80,-54.02,-58.46,-58.46,-63.70,-69.97
117.5E3,-50.52,-51.41,-54.63,-59.07,-59.07,-64.30,-70.57
120.2E3,-51.13,-52.03,-55.25,-59.67,-59.67,-64.91,-71.17
123.0E3,-51.75,-52.64,-55.86,-60.28,-60.28,-65.51,-71.78
125.9E3,-52.36,-53.25,-56.47,-60.89,-60.89,-66.12,-72.38
128.8E3,-52.97,-53.87,-57.07,-61.50,-61.50,-66.72,-72.98
131.8E3,-53.59,-54.48,-57.68,-62.10,-62.10,-67.32,-73.58
134.9E3,-54.20,-55.09,-58.29,-62.71,-62.71,-67.93,-74.19
138.0E3,-54.81,-55.70,-58.90,-63.31,-63.31,-68.53,-74.79
141.3E3,-55.42,-56.31,-59.51,-63.92,-63.92,-69.14,-75.39
144.5E3,-56.03,-56.92,-60.12,-64.52,-64.52,-69.74,-75.99
147.9E3,-56.64,-57.53,-60.72,-65.13,-65.13,-70.34,-76.59
151.4E3,-57.25,-58.14,-61.33,-65.73,-65.73,-70.94,-77.19
154.9E3,-57.86,-58.75,-61.94,-66.34,-66.34,-71.55,-77.80
158.5E3,-58.47,-59.35,-62.54,-66.94,-66.94,-72.15,-78.40
162.2E3,-59.08,-59.96,-63.15,-67.55,-67.55,-72.75,-79.00
166.0E3,-59.69,-60.57,-63.75,-68.15,-68.15,-73.35,-79.60
169.8E3,-60.30,-61.18,-64.36,-68.75,-68.75,-73.96,-80.20
173.8E3,-60.91,-61.78,-64.96,-69.36,-69.36,-74.56,-80.80
177.8E3,-61.51,-62.39,-65.57,-69.96,-69.96,-75.16,-81.40
182.0E3,-62.12,-63.00,-66.17,-70.56,-70.56,-75.76,-82.00
186.2E3,-62.73,-63.60,-66.78,-71.17,-71.17,-76.36,-82.60
190.5E3,-63.33,-64.21,-67.38,-71.77,-71.77,-76.97,-83.20
195.0E3,-63.94,-64.81,-67.99,-72.37,-72.37,-77.57,-83.80
199.5E3,-64.55,-65.42,-68.59,-72.97,-72.97,-78.17,-84.40
204.2E3,-65.15,-66.02,-69.19,-73.58,-73.58,-78.77,-85.00
208.9E3,-65.76,-66.63,-69.80,-74.18,-74.18,-79.37,-85.60
213.8E3,-66.37,-67.23,-70.40,-74.78,-74.78,-79.97,-86.20
218.8E3,-66.97,-67.84,-71.00,-75.38,-75.38,-80.57,-86.80
223.9E3,-67.58,-68.44,-71.61,-75.98,-75.98,-81.17,-87.40
229.1E3,-68.18,-69.05,-72.21,-76.59,-76.59,-81.77,-88.00
234.4E3,-68.79,-69.65,-72.81,-77.19,-77.19,-82.37,-88.60
239.9E3,-69.39,-70.25,-73.41,-77.79,-77.79,-82.97,-89.20
245.5E3,-70.00,-70.86,-74.02,-78.39,-78.39,-83.57,-89.80
251.2E3,-70.60,-71.46,-74.62,-78.99,-78.99,-84.17,-90.40
257.0E3,-71.21,-72.06,-75.22,-79.59,-79.59,-84.77,-91.00
263.0E3,-71.81,-72.67,-75.82,-80.19,-80.19,-85.37,-91.59
269.2E3,-72.42,-73.27,-76.43,-80.80,-80.80,-85.97,-92.19
275.4E3,-73.02,-73.87,-77.03,-81.40,-81.40,-86.57,-92.79
281.8E3,-73.63,-74.48,-77.63,-82.00,-82.00,-87.17,-93.39
288.4E3,-74.23,-75.08,-78.23,-82.60,-82.60,-87.77,-93.99
295.1E3,-74.84,-75.68,-78.83,-83.20,-83.20,-88.37,-94.59
302.0E3,-75.44,-76.29,-79.43,-83.80,-83.80,-88.97,-95.18
309.0E3,-76.04,-76.89,-80.04,-84.40,-84.40,-89.57,-95.78
316.2E3,-76.65,-77.49,-80.64,-85.00,-85.00,-90.17,-96.38
323.6E3,-77.25,-78.09,-81.24,-85.60,-85.60,-90.77,-96.98
331.1E3,-77.86,-78.70,-81.84,-86.20,-86.20,-91.37,-97.57
338.8E3,-78.46,-79.30,-82.44,-86.80,-86.80,-91.97,-98.17
346.7E3,-79.07,-79.90,-83.04,-87.40,-87.40,-92.57,-98.77
354.8E3,-79.67,-80.50,-83.64,-88.00,-88.00,-93.17,-99.37
363.1E3,-80.28,-81.10,-84.24,-88.60,-88.60,-93.76,-99.96
371.5E3,-80.88,-81.71,-84.84,-89.20,-89.20,-94.36,-100.6
380.2E3,-81.49,-82.31,-85.44,-89.80,-89.80,-94.96,-101.2
389.0E3,-82.09,-82.91,-86.05,-90.40,-90.40,-95.56,-101.8
398.1E3,-82.70,-83.51,-86.65,-91.00,-91.00,-96.16,-102.3
407.4E3,-83.30,-84.12,-87.25,-91.60,-91.60,-96.76,-102.9
416.9E3,-83.91,-84.72,-87.85,-92.20,-92.20,-97.35,-103.5
426.6E3,-84.52,-85.32,-88.45,-92.80,-92.80,-97.95,-104.1
436.5E3,-85.12,-85.92,-89.05,-93.40,-93.40,-98.55,-104.7
446.7E3,-85.73,-86.52,-89.65,-93.99,-93.99,-99.15,-105.3
457.1E3,-86.33,-87.13,-90.25,-94.59,-94.59,-99.74,-105.9
467.7E3,-86.94,-87.73,-90.85,-95.19,-95.19,-100.3,-106.5
478.6E3,-87.55,-88.33,-91.45,-95.79,-95.79,-100.9,-107.1
489.8E3,-88.15,-88.93,-92.05,-96.39,-96.39,-101.5,-107.7
501.2E3,-88.76,-89.54,-92.65,-96.99,-96.99,-102.1,-108.3
512.9E3,-89.37,-90.14,-93.25,-97.59,-97.59,-102.7,-108.9
524.8E3,-89.98,-90.74,-93.85,-98.18,-98.18,-103.3,-109.5
537.0E3,-90.58,-91.34,-94.45,-98.78,-98.78,-103.9,-110.1
549.5E3,-91.19,-91.94,-95.05,-99.38,-99.38,-104.5,-110.7
562.3E3,-91.80,-92.55,-95.65,-99.98,-99.98,-105.1,-111.3
575.4E3,-92.41,-93.15,-96.25,-100.6,-100.6,-105.7,-111.8
588.8E3,-93.02,-93.75,-96.85,-101.2,-101.2,-106.3,-112.4
602.6E3,-93.63,-94.36,-97.45,-101.8,-101.8,-106.9,-113.0
616.6E3,-94.24,-94.96,-98.05,-102.4,-102.4,-107.5,-113.6
631.0E3,-94.85,-95.56,-98.65,-103.0,-103.0,-108.1,-114.2
645.7E3,-95.46,-96.16,-99.25,-103.6,-103.6,-108.7,-114.8
660.7E3,-96.07,-96.77,-99.85,-104.2,-104.2,-109.3,-115.4
676.1E3,-96.69,-97.37,-100.4,-104.8,-104.8,-109.9,-116.0
691.8E3,-97.30,-97.97,-101.0,-105.4,-105.4,-110.5,-116.6
707.9E3,-97.91,-98.58,-101.6,-106.0,-106.0,-111.1,-117.1
724.4E3,-98.52,-99.18,-102.2,-106.5,-106.5,-111.6,-117.7
741.3E3,-99.14,-99.78,-102.8,-107.1,-107.1,-112.2,-118.3
758.6E3,-99.75,-100.4,-103.4,-107.7,-107.7,-112.8,-118.9
776.2E3,-100.4,-101.0,-104.0,-108.3,-108.3,-113.4,-119.5
794.3E3,-101.0,-101.6,-104.6,-108.9,-108.9,-114.0,-120.1
812.8E3,-101.6,-102.2,-105.2,-109.5,-109.5,-114.6,-120.7
831.8E3,-102.2,-102.8,-105.8,-110.1,-110.1,-115.2,-121.2
851.1E3,-102.8,-103.4,-106.4,-110.7,-110.7,-115.8,-121.8
871.0E3,-103.5,-104.0,-107.0,-111.3,-111.3,-116.4,-122.4
891.3E3,-104.1,-104.6,-107.6,-111.9,-111.9,-117.0,-123.0
912.0E3,-104.7,-105.2,-108.2,-112.5,-112.5,-117.5,-123.6
933.3E3,-105.3,-105.8,-108.8,-113.1,-113.1,-118.1,-124.1
955.0E3,-105.9,-106.4,-109.4,-113.7,-113.7,-118.7,-124.7
977.2E3,-106.6,-107.0,-110.0,-114.3,-114.3,-119.3,-125.3
1.000E6,-107.2,-107.6,-110.6,-114.9,-114.9,-119.9,-125.9
1.023E6,-107.8,-108.3,-111.2,-115.5,-115.5,-120.5,-126.4
1.047E6,-108.4,-108.9,-111.8,-116.1,-116.1,-121.1,-127.0
1.072E6,-109.1,-109.5,-112.4,-116.6,-116.6,-121.6,-127.6
1.096E6,-109.7,-110.1,-113.0,-117.2,-117.2,-122.2,-128.1
1.122E6,-110.3,-110.7,-113.6,-117.8,-117.8,-122.8,-128.7
1.148E6,-111.0,-111.3,-114.2,-118.4,-118.4,-123.4,-129.3
1.175E6,-111.6,-111.9,-114.8,-119.0,-119.0,-124.0,-129.8
1.202E6,-112.2,-112.5,-115.4,-119.6,-119.6,-124.6,-130.4
1.230E6,-112.9,-113.1,-116.0,-120.2,-120.2,-125.1,-131.0
1.259E6,-113.5,-113.7,-116.6,-120.8,-120.8,-125.7,-131.5
1.288E6,-114.1,-114.3,-117.2,-121.4,-121.4,-126.3,-132.1
1.318E6,-114.8,-114.9,-117.8,-122.0,-122.0,-126.9,-132.6
1.349E6,-115.4,-115.6,-118.4,-122.5,-122.5,-127.4,-133.2
1.380E6,-116.1,-116.2,-119.0,-123.1,-123.1,-128.0,-133.7
1.413E6,-116.7,-116.8,-119.6,-123.7,-123.7,-128.6,-134.3
1.445E6,-117.4,-117.4,-120.2,-124.3,-124.3,-129.2,-134.8
1.479E6,-118.0,-118.0,-120.8,-124.9,-124.9,-129.7,-135.4
1.514E6,-118.7,-118.6,-121.4,-125.5,-125.5,-130.3,-135.9
1.549E6,-119.3,-119.2,-122.0,-126.0,-126.0,-130.9,-136.5
1.585E6,-120.0,-119.8,-122.6,-126.6,-126.6,-131.4,-137.0
1.622E6,-120.7,-120.5,-123.2,-127.2,-127.2,-132.0,-137.6
1.660E6,-121.3,-121.1,-123.8,-127.8,-127.8,-132.6,-138.1
1.698E6,-122.0,-121.7,-124.4,-128.4,-128.4,-133.1,-138.6
1.738E6,-122.7,-122.3,-124.9,-129.0,-129.0,-133.7,-139.2
1.778E6,-123.3,-122.9,-125.5,-129.5,-129.5,-134.2,-139.7
1.820E6,-124.0,-123.6,-126.1,-130.1,-130.1,-134.8,-140.2
1.862E6,-124.7,-124.2,-126.7,-130.7,-130.7,-135.3,-140.7
1.905E6,-125.4,-124.8,-127.3,-131.3,-131.3,-135.9,-141.2
1.950E6,-126.0,-125.4,-127.9,-131.8,-131.8,-136.4,-141.8
1.995E6,-126.7,-126.0,-128.5,-132.4,-132.4,-137.0,-142.3
2.042E6,-127.4,-126.7,-129.1,-133.0,-133.0,-137.5,-142.8
2.089E6,-128.1,-127.3,-129.7,-133.6,-133.6,-138.1,-143.3
2.138E6,-128.8,-127.9,-130.3,-134.1,-134.1,-138.6,-143.8
2.188E6,-129.5,-128.5,-130.9,-134.7,-134.7,-139.2,-144.3
2.239E6,-130.2,-129.2,-131.5,-135.3,-135.3,-139.7,-144.8
2.291E6,-130.9,-129.8,-132.1,-135.8,-135.8,-140.2,-145.3
2.344E6,-131.7,-130.4,-132.7,-136.4,-136.4,-140.8,-145.7
2.399E6,-132.4,-131.1,-133.3,-137.0,-137.0,-141.3,-146.2
2.455E6,-133.1,-131.7,-133.9,-137.5,-137.5,-141.8,-146.7
2.512E6,-133.8,-132.3,-134.4,-138.1,-138.1,-142.3,-147.2
2.570E6,-134.6,-133.0,-135.0,-138.6,-138.6,-142.9,-147.6
2.630E6,-135.3,-133.6,-135.6,-139.2,-139.2,-143.4,-148.1
2.692E6,-136.0,-134.3,-136.2,-139.8,-139.8,-143.9,-148.6
2.754E6,-136.8,-134.9,-136.8,-140.3,-140.3,-144.4,-149.0
2.818E6,-137.5,-135.6,-137.4,-140.9,-140.9,-144.9,-149.5
2.884E6,-138.3,-136.2,-138.0,-141.4,-141.4,-145.4,-149.9
2.951E6,-139.1,-136.9,-138.6,-142.0,-142.0,-145.9,-150.4
3.020E6,-139.8,-137.5,-139.2,-142.5,-142.5,-146.4,-150.8
3.090E6,-140.6,-138.2,-139.8,-143.1,-143.1,-146.9,-151.2
3.162E6,-141.4,-138.8,-140.4,-143.6,-143.6,-147.4,-151.6
3.236E6,-142.2,-139.5,-140.9,-144.2,-144.2,-147.9,-152.1
3.311E6,-143.0,-140.1,-141.5,-144.7,-144.7,-148.4,-152.5
3.388E6,-143.8,-140.8,-142.1,-145.2,-145.2,-148.9,-152.9
3.467E6,-144.6,-141.5,-142.7,-145.8,-145.8,-149.4,-153.3
3.548E6,-145.4,-142.2,-143.3,-146.3,-146.3,-149.8,-153.7
3.631E6,-146.2,-142.8,-143.9,-146.8,-146.8,-150.3,-154.1
3.715E6,-147.1,-143.5,-144.5,-147.4,-147.4,-150.8,-154.5
3.802E6,-147.9,-144.2,-145.1,-147.9,-147.9,-151.3,-154.9
3.890E6,-148.7,-144.9,-145.7,-148.4,-148.4,-151.7,-155.3
3.981E6,-149.6,-145.6,-146.3,-149.0,-149.0,-152.2,-155.6
4.074E6,-150.5,-146.3,-146.9,-149.5,-149.5,-152.6,-156.0
4.169E6,-151.3,-147.0,-147.5,-150.0,-150.0,-153.1,-156.4
4.266E6,-152.2,-147.7,-148.1,-150.6,-150.6,-153.5,-156.7
4.365E6,-153.1,-148.4,-148.7,-151.1,-151.1,-154.0,-157.1
4.467E6,-154.0,-149.1,-149.3,-151.6,-151.6,-154.4,-157.4
4.571E6,-154.8,-149.8,-149.9,-152.1,-152.1,-154.9,-157.8
4.677E6,-155.8,-150.5,-150.5,-152.6,-152.6,-155.3,-158.1
4.786E6,-156.7,-151.3,-151.1,-153.2,-153.2,-155.7,-158.5
